year,neighborhood,housing_units
2014,Cow Hollow,380348
2014,Downtown ,380348
2014,Duboce Triangle,380348
2014,Eureka Valley/Dolores Heights,380348
2014,Excelsior,380348
2014,Financial District North,380348
2014,Financial District South,380348
2014,Glen Park,380348
2014,Golden Gate Heights,380348
2014,Haight Ashbury,380348
2014,Hayes Valley,380348
2014,Ingleside ,380348
2014,Inner Mission,380348
2014,Inner Parkside,380348
2014,Inner Richmond,380348
2014,Inner Sunset,380348
2014,Jordan Park/Laurel Heights,380348
2014,Lake --The Presidio,380348
2014,Lone Mountain,380348
2014,Lower Pacific Heights,380348
2014,Marina,380348
2014,Merced Heights,380348
2014,Miraloma Park,380348
2014,Mission Bay,380348
2014,Mission Dolores,380348
2014,Mission Terrace,380348
2014,Nob Hill,380348
2014,Noe Valley,380348
2014,North Waterfront,380348
2014,Outer Parkside,380348
2014,Outer Richmond ,380348
2014,Outer Sunset,380348
2014,Pacific Heights,380348
2014,Park North,380348
2014,Parkside,380348
2014,Parnassus/Ashbury Heights,380348
2014,Portola,380348
2014,Potrero Hill,380348
2014,Presidio Heights,380348
2014,Russian Hill,380348
2014,Silver Terrace,380348
2014,South Beach,380348
2014,South of Market,380348
2014,Sunnyside,380348
2014,Telegraph Hill,380348
2014,Twin Peaks,380348
2014,Union Square District,380348
2014,Van Ness/ Civic Center,380348
2014,Visitacion Valley,380348
2014,West Portal,380348
2014,Western Addition,380348
2014,Westwood Park,380348
2014,Yerba Buena,380348
2015,Alamo Square,382295
2015,Anza Vista,382295
2015,Bayview Heights,382295
2015,Bernal Heights ,382295
2015,Buena Vista Park,382295
2015,Central Richmond,382295
2015,Central Sunset,382295
2015,Corona Heights,382295
2015,Cow Hollow,382295
2015,Croker Amazon,382295
2015,Downtown ,382295
2015,Duboce Triangle,382295
2015,Eureka Valley/Dolores Heights,382295
2015,Excelsior,382295
2015,Financial District North,382295
2015,Financial District South,382295
2015,Glen Park,382295
2015,Golden Gate Heights,382295
2015,Haight Ashbury,382295
2015,Hayes Valley,382295
2015,Hunters Point,382295
2015,Ingleside ,382295
2015,Inner Mission,382295
2015,Inner Parkside,382295
2015,Inner Richmond,382295
2015,Inner Sunset,382295
2015,Jordan Park/Laurel Heights,382295
2015,Lake --The Presidio,382295
2015,Lone Mountain,382295
2015,Lower Pacific Heights,382295
2015,Marina,382295
2015,Mission Dolores,382295
2015,Mission Terrace,382295
2015,Nob Hill,382295
2015,Noe Valley,382295
2015,North Beach,382295
2015,North Waterfront,382295
2015,Oceanview,382295
2015,Outer Mission,382295
2015,Outer Parkside,382295
2015,Outer Richmond ,382295
2015,Outer Sunset,382295
2015,Pacific Heights,382295
2015,Park North,382295
2015,Parkside,382295
2015,Parnassus/Ashbury Heights,382295
2015,Potrero Hill,382295
2015,Presidio Heights,382295
2015,Russian Hill,382295
2015,South of Market,382295
2015,Sunnyside,382295
2015,Telegraph Hill,382295
2015,Twin Peaks,382295
2015,Union Square District,382295
2015,Van Ness/ Civic Center,382295
2015,Visitacion Valley,382295
2015,Western Addition,382295
2015,Yerba Buena,382295
2016,Alamo Square,384242
2016,Anza Vista,384242
2016,Bernal Heights ,384242
2016,Buena Vista Park,384242
2016,Central Richmond,384242
2016,Central Sunset,384242
2016,Cow Hollow,384242
2016,Croker Amazon,384242
2016,Downtown ,384242
2016,Eureka Valley/Dolores Heights,384242
2016,Excelsior,384242
2016,Financial District North,384242
2016,Glen Park,384242
2016,Haight Ashbury,384242
2016,Hayes Valley,384242
2016,Ingleside Heights,384242
2016,Inner Mission,384242
2016,Inner Parkside,384242
2016,Inner Richmond,384242
2016,Inner Sunset,384242
2016,Jordan Park/Laurel Heights,384242
2016,Lower Pacific Heights,384242
2016,Marina,384242
2016,Merced Heights,384242
2016,Mission Bay,384242
2016,Mission Terrace,384242
