neighborhood,sale_price_sqr_foot,gross_rent
Alamo Square,366.02071153227644,2817.285714285714
Anza Vista,373.38219782647707,3031.8333333333335
Bayview,204.58862288246596,2318.4
Bayview Heights,590.7928388746802,3739.0
Bernal Heights ,576.7464881132382,3080.3333333333335
Buena Vista Park,452.6805909308442,2698.8333333333335
Central Richmond,394.4223987800589,2817.285714285714
Central Sunset,423.6879277015824,2817.285714285714
Clarendon Heights,487.2448860262575,2250.5
Corona Heights,587.5390673661739,2472.0
Cow Hollow,665.964041578323,2817.285714285714
Croker Amazon,303.00418440849427,2698.8333333333335
Diamond Heights,434.99173944522124,2016.0
Downtown ,391.43437776742576,2817.285714285714
Duboce Triangle,502.59915555623616,2780.25
Eureka Valley/Dolores Heights,642.2486706357391,2817.285714285714
Excelsior,388.76592700230754,3031.8333333333335
Financial District North,391.36253308010487,2817.285714285714
Financial District South,455.83621223779153,2472.0
Forest Knolls,321.84083657398736,1781.5
Glen Park,623.826177537435,2899.5
Golden Gate Heights,639.3935574881156,2601.4
Haight Ashbury,449.5447622856192,2817.285714285714
Hayes Valley,355.9328279480578,2817.285714285714
Hunters Point,170.62491987132685,2489.0
Ingleside ,367.8951440852775,2509.0
Ingleside Heights,384.7979281346048,2960.0
Inner Mission,397.67371473613446,2817.285714285714
Inner Parkside,519.3856038526768,3224.0
Inner Richmond,378.59431396136455,2817.285714285714
Inner Sunset,413.66751546215943,2817.285714285714
Jordan Park/Laurel Heights,529.3841850673389,2817.285714285714
Lake --The Presidio,409.95435219297514,2555.1666666666665
Lone Mountain,478.2285530213679,2555.1666666666665
Lower Pacific Heights,539.2379688783261,2817.285714285714
Marina,583.7492694814549,2817.285714285714
Merced Heights,788.8448175872469,3414.0
Midtown Terrace,550.5103482917151,2647.5
Miraloma Park,779.810842264425,2155.25
Mission Bay,566.1922135483312,2663.6666666666665
Mission Dolores,418.9156225067234,2555.1666666666665
Mission Terrace,523.4662013248023,3173.4
Nob Hill,458.2040944846015,2817.285714285714
Noe Valley,542.4429128151736,2817.285714285714
North Beach,411.646875881678,2990.8
North Waterfront,498.26975500787677,2818.4
Oceanview,330.0973846552545,2434.0
Outer Mission,242.37095202049667,2995.75
Outer Parkside,485.0270126111035,2817.285714285714
Outer Richmond ,473.90077331796317,2817.285714285714
Outer Sunset,394.21903228550775,2817.285714285714
Pacific Heights,689.5558168113664,2817.285714285714
Park North,373.732856371763,2817.285714285714
Parkside,336.172661037069,2555.1666666666665
Parnassus/Ashbury Heights,632.740453508577,2817.285714285714
Portola,327.11392534647274,2318.4
Potrero Hill,662.0136128276529,2817.285714285714
Presidio Heights,675.3502120510033,2817.285714285714
Russian Hill,608.9832172374425,2817.285714285714
Silver Terrace,170.2925485152069,3528.0
South Beach,650.1244791945729,2099.0
South of Market,570.2714266991686,2817.285714285714
Sunnyside,528.3183317138463,2899.5
Telegraph Hill,676.5065775293257,2817.285714285714
Twin Peaks,469.39862649935156,2817.285714285714
Union Square District,903.9932576720645,2555.1666666666665
Van Ness/ Civic Center,404.1501801622257,2817.285714285714
Visitacion Valley,301.46617997450267,3657.0
West Portal,498.4884848295011,2515.5
Western Addition,307.56220097996066,2555.1666666666665
Westwood Highlands,533.7039354359513,2250.5
Westwood Park,687.0875745178323,3959.0
Yerba Buena,576.709848378276,2555.1666666666665
